#id	AI名称	稀有度	等级	类型	职类	策略1	策略2	策略3	策略4	策略5	策略6	策略7	策略8	策略9	策略10
#135	地屬性魔法LV8	1	8	1	-1	8,4,3107	103,2,1907	0,2,2707							
#136	地屬性魔法LV9	1	9	1	-1	8,4,3108	103,2,1908	0,2,2708							
#137	地屬性魔法LV10	1	10	1	-1	8,4,3109	103,2,1909	0,2,2709							
#138	水屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,2000	0,2,2800							
#139	水屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,2001	0,2,2801							
#140	水屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,2002	0,2,2802							
#141	水屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,2003	0,2,2803							
#142	水屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,2004	0,2,2804							
#143	水屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,2005	0,2,2805							
#144	水屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,2006	0,2,2806							
#145	水屬性魔法LV8	1	8	1	-1	8,4,3107	103,2,2007	0,2,2807							
#146	水屬性魔法LV9	1	9	1	-1	8,4,3108	103,2,2008	0,2,2808							
#147	水屬性魔法LV10	1	10	1	-1	8,4,3109	103,2,2009	0,2,2809							
#148	火屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,2100	0,2,2900							
#149	火屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,2101	0,2,2901							
#150	火屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,2102	0,2,2902							
#151	火屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,2103	0,2,2903							
#152	火屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,2104	0,2,2904							
#153	火屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,2105	0,2,2905							
#154	火屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,2106	0,2,2906							
#155	火屬性魔法LV8	1	8	1	-1	8,4,3107	103,2,2107	0,2,2907							
#156	火屬性魔法LV9	1	9	1	-1	8,4,3108	103,2,2108	0,2,2908							
#157	火屬性魔法LV10	1	10	1	-1	8,4,3109	103,2,2109	0,2,2909							
#158	風屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,2200	0,2,3000							
#159	風屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,2201	0,2,3001							
#160	風屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,2202	0,2,3002							
#161	風屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,2203	0,2,3003							
#162	風屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,2204	0,2,3004							
#163	風屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,2205	0,2,3005							
#164	風屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,2206	0,2,3006							
#165	風屬性魔法LV8	1	8	1	-1	8,4,3107	103,2,2207	0,2,3007							
#166	風屬性魔法LV9	1	9	1	-1	8,4,3108	103,2,2208	0,2,3008							
#167	風屬性魔法LV10	1	10	1	-1	8,4,3109	103,2,2209	0,2,3009							
168	傳教超恢AI LV10	1	10	0	60	89,5,6629	95,7,6310	203,48,6709	97,46,6809	98,47,6809	96,7,6310	106,7,6109	202,48,6709	201,48,6702	0,2,26720
#169	寵物氣功彈LV10	1	1	1	-1	8,0,1260	103,2,309	0,2,450							
170	士兵地魔法	1	1	0	50	8,4,3109	103,2,1909	0,2,2799							
171	士兵水魔法	1	1	0	50	8,4,3109	103,2,2009	0,2,2899							
172	士兵火魔法	1	1	0	50	8,4,3109	103,2,2109	0,2,2999							
173	士兵風魔法	1	1	0	50	8,4,3109	103,2,2209	0,2,3099							
174	士兵氣功彈	1	1	0	50	8,0,1260	104,2,402	0,2,499							
175	士兵護衛追月	1	1	0	50	8,0,1260	107,7,26109	105,7,709	103,2,309	0,2,200509	0,6,-100				
200	近攻坦 LV1	1	4	0	2010	8,0,1203	107,0,26103	105,7,703	103,2,303						
201	近攻連 LV1	1	4	0	2010	8,0,1203	103,2,303	0,2,3							
202	近攻崩 LV1	1	4	0	2010	8,0,1203	103,2,303	0,2,503							
203	近攻慄 LV1	1	4	0	2010	8,0,1203	103,10,603	0,6,-100							
204	輔助補 LV1	1	4	0	2040	95,7,6203	203,48,6703	97,46,6803	98,47,6803	96,7,6203	106,7,6103	202,48,6703	201,48,6703	89,5,6503	
205	遠攻射 LV1	1	4	0	2020	8,0,1203	103,2,303	0,2,9503							
206	遠攻彈 LV1	1	4	0	2030	8,0,1203	104,2,402	0,2,403							
207	地法術 LV1	1	4	0	2040	8,4,3103	103,2,1903	0,2,2703							
208	水法術 LV1	1	4	0	2040	8,4,3103	103,2,2003	0,2,2803							
209	火法術 LV1	1	4	0	2040	8,4,3103	103,2,2103	0,2,2903							
210	風法術 LV1	1	4	0	2040	8,4,3103	103,2,2203	0,2,3003							
211	近攻坦 LV2	1	7	0	2010	8,0,1206	107,0,26106	105,7,706	103,2,306						
212	近攻連 LV2	1	7	0	2010	8,0,1206	103,2,306	0,2,6							
213	近攻崩 LV2	1	7	0	2010	8,0,1206	103,2,306	0,2,506							
214	近攻慄 LV2	1	7	0	2010	8,0,1206	103,10,606	0,6,-100							
215	輔助補 LV2	1	7	0	2040	95,7,6206	203,48,6706	97,46,6806	98,47,6806	96,7,6206	106,7,6106	202,48,6706	201,48,6706	89,5,6506	
216	遠攻射 LV2	1	7	0	2020	8,0,1206	103,2,306	0,2,9506							
217	遠攻彈 LV2	1	7	0	2030	8,0,1206	104,2,405	0,2,406							
218	地法術 LV2	1	7	0	2040	8,4,3106	103,2,1906	0,2,2706							
219	水法術 LV2	1	7	0	2040	8,4,3106	103,2,2006	0,2,2806							
220	火法術 LV2	1	7	0	2040	8,4,3106	103,2,2106	0,2,2906							
221	風法術 LV2	1	7	0	2040	8,4,3106	103,2,2206	0,2,3006							
222	近攻坦 LV3	1	10	0	2010	8,0,1209	107,0,26109	105,7,709	103,2,309						
223	近攻連 LV3	1	10	0	2010	8,0,1209	103,2,309	0,2,9							
224	近攻崩 LV3	1	10	0	2010	8,0,1209	103,2,309	0,2,509							
225	近攻慄 LV3	1	10	0	2010	8,0,1209	103,10,609	0,6,-100							
226	輔助補 LV3	1	10	0	2040	95,7,6209	203,48,6709	97,46,6809	98,47,6809	96,7,6209	106,7,6109	202,48,6709	201,48,6709	89,5,6509	
227	遠攻射 LV3	1	10	0	2020	8,0,1209	103,2,309	0,2,9509							
228	遠攻彈 LV3	1	10	0	2030	8,0,1209	104,2,408	0,2,409							
229	地法術 LV3	1	10	0	2040	8,4,3109	103,2,1909	0,2,2709							
230	水法術 LV3	1	10	0	2040	8,4,3109	103,2,2009	0,2,2809							
231	火法術 LV3	1	10	0	2040	8,4,3109	103,2,2109	0,2,2909							
232	風法術 LV3	1	10	0	2040	8,4,3109	103,2,2209	0,2,3009							
															
# 宠物 明镜, 气功弹, 乾坤															
#240	寵物綜合物理攻擊·LV1	1	1	1	-1	7,0,1201	86,6,401	103,6,330	0,6,-100						
#241	寵物綜合物理攻擊·LV2	1	3	1	-1	7,0,1203	86,6,403	103,6,332	0,6,-100						
#242	寵物綜合物理攻擊·LV3	1	5	1	-1	7,0,1205	86,6,405	103,6,334	0,6,-100						
#243	寵物綜合物理攻擊·LV4	1	7	1	-1	7,0,1207	86,6,407	103,6,336	0,6,-100						
#244	寵物綜合物理攻擊·LV5	1	9	1	-1	7,0,1209	86,6,409	103,6,338	0,6,-100						
#250	寵物綜合物理攻擊·LEX	1	10	1	-1	7,0,1250	86,6,450	103,6,358	0,6,-100						
240	寵物攻擊 Com	1	4	1	-1	7,6,8138	85,6,403	36,13,638	0,6,-100						
241	寵物防守 Com	1	4	1	-1	7,0,1238	29,7,738	85,6,403	0,6,-100						

# 宠物 明镜, 战栗, 乾坤															
#251	寵物綜合物理攻擊·BOSS	1	10	1	-1	7,0,1250	36,13,638	83,6,359	0,6,-100						
															
# 五转剑士AI 明镜, 鸿雁追月(>5), 连击-狂舞(<=3), 连击-破灭(==1), 攻击															
5100	武士·AI	1	1	0	3010	7,0,1209	82,6,26289	85,6,200588	102,6,200589	0,6,-100					
# 五转剑士BOSS 明镜, 战栗, 连击-破灭, 攻击															
5110	武士·BOSS	1	1	0	3010	7,0,1209	36,13,609	83,6,26289	82,6,200589	0,6,-100					
# 五转战斧AI 明镜, 戒骄戒躁, 攻击															
5200	狂戰士·AI	1	1	0	1910	7,0,1249	102,6,319	86,6,405	85,6,25709	0,6,-100					
# 五转战斧BOSS 明镜, 战栗, 戒骄戒躁, 攻击															
5210	狂戰士·BOSS	1	1	0	1910	7,0,1249	36,13,609	83,6,319	0,6,-100						
# 五转骑士AI 明镜, 一石二鸟, 攻击															
5300	聖騎士·AI	1	1	0	1950	7,0,1209	7,0,6148	27,0,1109	95,1,26149	97,5,749	83,6,149	0,6,-100			
# 五转骑士BOSS 明镜, 战栗, 护卫, 															
5310	聖騎士·BOSS	1	1	0	1950	7,0,6148	36,13,609	27,0,1109	83,1,26149	0,6,-100					
# 五转弓AI															
5400	重裝射手·AI	1	1	0	1900	7,0,1209	27,0,6409	102,6,9589	85,6,9519	0,6,-100					
# 五转弓BOSS															
# 5410															
# 五转格AI															
5500	龍虎鬥士·AI	1	1	0	1990	7,0,1200	102,6,449	85,6,448	0,6,-100						
# 五转格BOSS															
# 5510															
# 五转兵AI															
# 5600															
# 五转兵BOSS															
# 5610															
# 五转魔AI															
5700	隕石魔法·極魔	1	1	0	1940	7,4,3149	100,6,1949	0,6,2749	27,6,25705	0,6,-100					
5710	冰凍魔法·極魔	1	1	0	1940	7,4,3149	100,6,2049	0,6,2849	27,6,25705	0,6,-100					
5720	火焰魔法·極魔	1	1	0	1940	7,4,3149	100,6,2149	0,6,2949	27,6,25705	0,6,-100					
5730	風刃魔法·極魔	1	1	0	1940	7,4,3149	100,6,2249	0,6,3049	27,6,25705	0,6,-100					
# 五转魔BOSS															
# 5740															
# 五转传AI															
5800	白羽神使·AI	1	1	0	1920	97,46,6849	98,47,6849	96,5,6349	7,0,6149	86,0,6609	201,48,6702	202,48,6709	27,6,25706	0,6,-100	
# 五转传BOSS															
# 5810															
# 五转巫AI															
5900	星之巫·AI	1	1	0	1980	97,46,6849	98,47,6849	95,0,6619	86,5,6309	26,5,6419	201,48,6702	202,48,6709	27,6,25706	0,6,-100	
# 五转巫BOSS															
5910	星之巫·BOSS	1	1	0	1980	61,5,6619	97,46,6849	98,47,6849	108,5,6149	95,5,6349	201,48,6702	202,48,6709	83,5,5919	0,6,-100	
# 五转咒AI															
# 6000															
# 五转咒BOSS															
# 6010															
# 五转忍AI															
# 6100															
# 五转忍BOSS															
# 6110															
# 五转宠AI															
# 6200															
# 五转宠BOSS															
# 6210															
# 五转炸AI															
# 6300															
# 五转炸BOSS															
# 6310															
