#id	AI名称	稀有度	等级	类型	职类	策略1	策略2	策略3	策略4	策略5	策略6	策略7	策略8	策略9	策略10
88	火屬性魔法LV9	1	9	0	70	8,4,3106	103,2,2106	0,2,2906							
89	火屬性魔法LV10	1	10	0	70	8,4,3106	103,2,2106	0,2,2906							
90	風屬性魔法LV1	1	1	0	70	8,4,3100	103,2,2200	0,2,3000							
91	風屬性魔法LV2	1	2	0	70	8,4,3101	103,2,2201	0,2,3001							
92	風屬性魔法LV3	1	3	0	70	8,4,3102	103,2,2202	0,2,3002							
93	風屬性魔法LV4	1	4	0	70	8,4,3103	103,2,2203	0,2,3003							
94	風屬性魔法LV5	1	5	0	70	8,4,3104	103,2,2204	0,2,3004							
95	風屬性魔法LV6	1	6	0	70	8,4,3105	103,2,2205	0,2,3005							
96	風屬性魔法LV7	1	7	0	70	8,4,3106	103,2,2206	0,2,3006							
97	風屬性魔法LV8	1	8	0	70	8,4,3106	103,2,2206	0,2,3006							
98	風屬性魔法LV9	1	9	0	70	8,4,3106	103,2,2206	0,2,3006							
99	風屬性魔法LV10	1	10	0	70	8,4,3106	103,2,2206	0,2,3006							
100	格鬥AI LV1	1	1	0	140	8,0,1260	104,2,400	0,2,400							
101	格鬥AI LV2	1	2	0	140	8,0,1260	104,2,401	0,2,401							
102	格鬥AI LV3	1	3	0	140	8,0,1260	104,2,402	0,2,402							
103	格鬥AI LV4	1	4	0	140	8,0,1260	104,2,402	0,2,403							
104	格鬥AI LV5	1	5	0	140	8,0,1260	104,2,402	0,2,404							
105	格鬥AI LV6	1	6	0	140	8,0,1260	104,2,402	0,2,405							
106	格鬥AI LV7	1	7	0	140	8,0,1260	104,2,402	0,2,406							
107	格鬥AI LV8	1	8	0	140	8,0,1260	104,2,402	0,2,407							
108	格鬥AI LV9	1	9	0	140	8,0,1260	104,2,402	0,2,408							
109	格鬥AI LV10	1	10	0	140	8,0,1260	104,2,402	0,2,409							
110	合擊血少-通用	1	1	0	-1	8,0,1260	0,6,-100								
111	合擊血多-通用	1	1	0	-1	8,0,1260	0,4,-100								
112	英雄防禦-通用	1	1	0	-1	8,0,1260	0,0,-200								
113	寵物合擊血少	1	1	1	-1	8,0,1260	0,6,-100								
114	寵物合擊血多	1	1	1	-1	8,0,1260	0,4,-100								
115	寵物防禦	1	1	1	-1	8,0,1260	0,0,-200								
116	寵物乾坤LV1	1	1	1	-1	8,0,1260	0,2,301								
#117	寵物乾坤LV2	1	3	1	-1	8,0,1260	0,2,303								
118	寵物乾坤LV3	1	5	1	-1	8,0,1260	0,2,303								
#119	寵物乾坤LV4	1	7	1	-1	8,0,1260	0,2,303								
120	寵物乾坤LV5	1	9	1	-1	8,0,1260	0,2,303								
121	寵物連擊LV1	1	1	1	-1	8,0,1260	0,2,1								
#122	寵物連擊LV2	1	3	1	-1	8,0,1260	0,2,3								
123	寵物連擊LV3	1	5	1	-1	8,0,1260	0,2,5								
#124	寵物連擊LV4	1	7	1	-1	8,0,1260	0,2,7								
125	寵物連擊LV5	1	9	1	-1	8,0,1260	0,2,9								
126	寵物崩擊	1	1	1	-1	8,0,1260	0,2,504								
127	寵物護衛	1	1	1	-1	8,0,1260	0,7,704								
128	地屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,1900	0,2,2700							
#129	地屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,1901	0,2,2701							
#130	地屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,1902	0,2,2702							
131	地屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,1903	0,2,2703							
#132	地屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,1904	0,2,2704							
#133	地屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,1905	0,2,2705							
134	地屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,1906	0,2,2706							
#135	地屬性魔法LV8	1	8	1	-1	8,4,3106	103,2,1906	0,2,2706							
#136	地屬性魔法LV9	1	9	1	-1	8,4,3106	103,2,1906	0,2,2706							
137	地屬性魔法LV10	1	10	1	-1	8,4,3106	103,2,1906	0,2,2706							
138	水屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,2000	0,2,2800							
#139	水屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,2001	0,2,2801							
#140	水屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,2002	0,2,2802							
141	水屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,2003	0,2,2803							
#142	水屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,2004	0,2,2804							
#143	水屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,2005	0,2,2805							
144	水屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,2006	0,2,2806							
#145	水屬性魔法LV8	1	8	1	-1	8,4,3106	103,2,2006	0,2,2806							
#146	水屬性魔法LV9	1	9	1	-1	8,4,3106	103,2,2006	0,2,2806							
147	水屬性魔法LV10	1	10	1	-1	8,4,3106	103,2,2006	0,2,2806							
148	火屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,2100	0,2,2900							
#149	火屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,2101	0,2,2901							
#150	火屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,2102	0,2,2902							
151	火屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,2103	0,2,2903							
#152	火屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,2104	0,2,2904							
#153	火屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,2105	0,2,2905							
154	火屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,2106	0,2,2906							
#155	火屬性魔法LV8	1	8	1	-1	8,4,3106	103,2,2106	0,2,2906							
#156	火屬性魔法LV9	1	9	1	-1	8,4,3106	103,2,2106	0,2,2906							
157	火屬性魔法LV10	1	10	1	-1	8,4,3106	103,2,2106	0,2,2906							
158	風屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,2200	0,2,3000							
#159	風屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,2201	0,2,3001							
#160	風屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,2202	0,2,3002							
161	風屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,2203	0,2,3003							
#162	風屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,2204	0,2,3004							
#163	風屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,2205	0,2,3005							
164	風屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,2206	0,2,3006							
#165	風屬性魔法LV8	1	8	1	-1	8,4,3106	103,2,2206	0,2,3006							
#166	風屬性魔法LV9	1	9	1	-1	8,4,3106	103,2,2206	0,2,3006							
167	風屬性魔法LV10	1	10	1	-1	8,4,3106	103,2,2206	0,2,3006							
168	傳教超恢AI LV10	1	10	0	60	89,5,6629	95,7,6310	203,48,6709	97,46,6809	98,47,6809	96,7,6310	106,7,6109	202,48,6709	201,48,6702	0,2,26720
#169	宠物气功蛋LV10	1	1	1	-1	8,0,1260	103,2,309	0,2,450							
170	士兵地魔法	1	1	0	50	8,4,3109	103,2,1909	0,2,2799							
171	士兵水魔法	1	1	0	50	8,4,3109	103,2,2009	0,2,2899							
172	士兵火魔法	1	1	0	50	8,4,3109	103,2,2109	0,2,2999							
173	士兵風魔法	1	1	0	50	8,4,3109	103,2,2209	0,2,3099							
174	士兵氣功彈	1	1	0	50	8,0,1260	104,2,402	0,2,499							
175	士兵護衛追月	1	1	0	50	8,0,1260	107,7,26109	105,7,709	103,2,309	0,2,200509	0,6,-100				
#
200	破鋒者AI	1	1	0	1100	8,0,1203	107,0,26103	0,2,200502	0,6,-100						
201	逐風者AI	1	1	0	1110	8,0,1203	97,46,6803	0,2,9503	0,6,-100						
202	星語者AI	1	1	0	1120	8,9,3103	58,2,2303	55,2,2403	59,2,2503	56,2,2603	82,2,2003				
203	演武者AI	1	1	0	1130	8,0,1203	30,4,503	0,2,403	0,6,-100						
204	刃影行者AI	1	4	0	1200	8,0,1206	107,0,26106	0,2,200505	98,47,6803	0,6,-100					
205	夜隱射手AI	1	4	0	1210	8,0,1206	97,46,6803	0,2,9506	0,6,-100						
206	遠星行者AI	1	4	0	1220	8,0,1205	30,4,605	0,2,405	201,48,6705	0,6,-100					
207	信仰行者AI	1	4	0	1230	108,5,6106	96,7,6206	202,48,6706	98,47,6806	0,6,-100					
208	虛空賢者AI	1	4	0	1240	8,9,3106	58,2,2306	55,2,2406	59,2,2506	56,2,2606	82,2,2006				
209	秘法詠者AI	1	4	0	1250	108,5,6105	58,2,3806	55,2,4006	59,2,4206	98,47,6805	0,6,-100				
210	元素織匠AI	1	4	0	1260	108,5,6105	89,5,6506	60,5,6506	25,5,5706	24,5,5906	0,6,-100				
211	戰魂行者AI	1	4	0	1270	8,0,1206	30,4,506	0,2,406	0,6,-100						
#
300	無聲星落	1	7	0	1300	8,0,1209	84,2,9509	82,2,200503	98,47,6805	0,6,-100					
301	紅蓮爆擊	1	7	0	1310	8,0,1209	84,2,499	82,2,200599	98,47,6805	0,6,-100					
302	虛無寂滅	1	7	0	1320	8,9,3109	58,2,2706	55,2,2806	59,2,2906	56,2,3006	82,2,200599				
303	裂天狂襲	1	7	0	1330	8,4,8109	84,2,200506	82,2,609	98,47,6805	0,6,-100					
304	EVA初號機	1	7	0	1340	8,0,1209	85,2,11103	83,2,11103	98,47,6805	0,6,-100					
305	EVA零號機	1	7	0	1350	8,0,1209	85,2,200506	83,2,200506	98,47,6805	0,6,-100					
306	EVA貳號機	1	7	0	1360	8,0,1209	85,2,11106	83,2,11106	98,47,6805	0,6,-100					
307	無上至尊	1	7	0	1370	108,5,5909	96,7,6609	202,48,6709	98,47,6806	0,6,-100					
308	守護者總管	1	7	0	1380	8,4,6107	58,2,3809	55,2,4009	59,2,4809	98,47,6807	0,6,-100				
309	最強守護者	1	7	0	1390	8,4,8109	85,2,200509	83,2,200509	108,5,6609	0,6,-100					
310	從者Saber	1	7	0	1400	8,0,1209	85,2,200500	83,2,200500	98,47,6805	0,6,-100					
311	從者Archer	1	7	0	1410	8,0,1209	85,2,200503	83,2,200503	98,47,6805	0,6,-100					
312	從者Lancer	1	7	0	1420	8,0,1209	85,2,200509	83,2,200509	107,7,26109	0,6,-100					
313	八神流古武術	1	7	0	1430	8,0,1209	83,2,499	82,2,609	98,47,6805	0,6,-100					
314	草薙流古武術	1	7	0	1440	8,0,1209	83,2,499	82,2,509	98,47,6805	0,6,-100					
315	聖魔混世皇	1	7	0	1450	108,5,6207	0,2,11109	107,7,26109	201,48,6707	0,6,-100					
316	破壞的暴君	1	7	0	1460	8,4,8109	0,2,11106	83,2,9409	98,47,6805	0,6,-100					
317	赫怒王	1	7	0	1470	8,4,6109	0,2,2909	83,2,2509	82,2,2109	0,6,-100					
318	神導巫女	1	7	0	1480	108,5,6409	96,7,6309	202,48,6709	98,47,6809	0,6,-100					
#
600	英雄AI LV1	1	1	0	480	8,0,1260	104,2,400	0,2,499							
601	英雄AI LV2	1	2	0	480	8,0,1260	104,2,401	0,2,499						
602	英雄AI LV3	1	3	0	480	8,0,1260	104,2,402	0,2,499						
603	英雄AI LV4	1	4	0	480	8,0,1260	104,2,402	0,2,499						
604	英雄AI LV5	1	5	0	480	8,0,1260	104,2,402	0,2,499							
605	英雄AI LV6	1	6	0	480	8,0,1260	104,2,402	0,2,499							
606	英雄AI LV7	1	7	0	480	8,0,1260	104,2,402	0,2,499							
607	英雄AI LV8	1	8	0	480	8,0,1260	104,2,402	0,2,499							
608	英雄AI LV9	1	9	0	480	8,0,1260	104,2,402	0,2,499						
609	英雄AI LV10	1	10	0	480	8,0,1260	104,2,402	0,2,499						
#															
# 宠物 明镜, 气功弹, 乾坤															
240	寵物綜合物理攻擊·LV1	1	1	1	-1	7,0,1201	86,6,401	103,6,330	0,6,-100						
241	寵物綜合物理攻擊·LV2	1	3	1	-1	7,0,1203	86,6,403	103,6,332	0,6,-100						
242	寵物綜合物理攻擊·LV3	1	5	1	-1	7,0,1205	86,6,405	103,6,334	0,6,-100						
243	寵物綜合物理攻擊·LV4	1	7	1	-1	7,0,1207	86,6,407	103,6,336	0,6,-100						
244	寵物綜合物理攻擊·LV5	1	9	1	-1	7,0,1209	86,6,407	103,6,338	0,6,-100						
#250	寵物綜合物理攻擊·LEX		1	10	1	-1	7,0,1250	86,6,407	103,6,358	0,6,-100						
													
